Anagram Sum of 10 Digits is computed. 76.9GB after general compression. 
423x  3728200  3635978  1192450  1080825  1548850  4605583  3431436  3356040  4079619  5716679
424x  1844042  1440276   607030  1538600   351813  2100138  1523715  1625768  1885321  3118685
425x  4825256  4209946  1704570  4373237  1955214  2267982  4507394  4349742  5095722  7765923
426x  3700522  3179504  1050685  3319712  1494303  4268238  1211923  3485432  3744045  5826721
427x  3547098  3089457  1088066  3162142  1547936  4223840  3502141  1232229  3686071  6164458
428x  4112654  3581825  1207710  3457266  1710040  4412335  3780624  3667911  1377870  6067082
429x  5234726  5194958  2009292  5143964  2739668  7681173  6288892  6705127  6819351  6047874
430x  1889234  3770372  3998549  1475929  1804531  4415882  3456590  3336135  3540834  5706630
431x  3482538  1058865  3388413   950927  1436222  4025055  3090530  3045177  3446025  5616898
432x  3575494  3364033  1193701   949387  1426394  3958095  3020173  3052632  3181648  5492626
433x  1237887   968786   956518   147956   476016  1338404  1016652  1141571  1067579  2114522
434x  1764844  1355922  1354299   491643   284939  1883394  1381640  1388626  1858684  2937875
435x  4588338  4086086  3863157  1409469  1927829  2117975  4041268  4198991  4460970  7726151
436x  3346788  2825953  2859973   966990  1406981  3945090  1127171  3293372  3394110  5913754
437x  3813448  3039868  2893265  1168400  1317328  3896241  3032097  1055536  3160119  5296018
438x  3546728  3194376  3074652  1006963  1663226  4153600  3144352  3126033  1214284  6053857
439x  5367442  4994782  4846866  1922404  2836975  7851145  6080557  6030934  6683916  5819594
440x  1260819  1881170  1839607  2134405   481496  2397963  1659644  1368989  1706343  3297491
441x  1783933   462213  1433219  1458776   294597  1812971  1268283  1291311  1505609  2920107
442x  1772082  1418804   586222  1418961   297566  1729503  1205254  1305107  1487526  2940842
443x  1779740  1558022  1419035   549295   325094  1866945  1441027  1351327  1697553  3298388
444x   533050   310208   333188   369077    36204   486765   415592   357659   409314  1151233
445x  2742479  1914819  1898893  1995393   554929  1184269  1940378  1772141  2328868  4676124
446x  2116783  1498056  1470667  1514803   472163  1954386   618417  1643650  1553056  3525654
447x  1901686  1483964  1456095  1463773   406111  1738021  1523848   673947  1347988  3237663
448x  1801363  1345209  1454459  1531830   366257  1984725  1488878  1408677   589071  3465315
449x  3394783  2877435  2904493  3031328  1073238  5018401  3900937  3902413  3959580  4993759
450x  3162488  4905575  4855767  4884873  2897401  2393256  3972734  3740621  3714370  7299758
451x  4293283  1130694  3612684  3568186  1757414  1589961  3358903  3122905  3220682  6445725
452x  3810442  3297816  1296762  3263258  1657033  1485231  3050825  3230866  3115912  6264238
453x  3503565  3300678  3212948  1055743  1587599  1419232  3104136  3002301  3157725  6224579
454x  1870530  1526712  1455450  1524681   396695   813564  1532402  1406680  1627436  3834973
455x  1871099  1352465  1253042  1253249   778355   325514  1349002  1336971  1445644  3070459
456x  3434985  3092047  2983719  2817986  1456765  1321117  1030193  3027434  3112885  5529069
457x  3086014  2982767  2861166  2802195  1289378  1271636  2901556  1099201  2961255  5457346
458x  3094958  2753760  3011875  2763447  1520646  1291753  2991581  2941943  1074267  5940751
459x  4938546  4651199  4699481  4849472  2916692  2910670  5554745  5656173  6187539  5698108
460x  1332834  2491478  2745442  2604346  1326469  2977598   768529  2333692  2319961  4081844
461x  2268693   531196  2074968  1977999   953000  2462409   631814  2079562  2275575  3959322
462x  2367881  1978614   675819  2016289   990080  2405624   688173  2100430  2042416  3835726
463x  2166671  1975117  1884922   696741   976242  2221428   692668  2246132  2082458  3996676
464x  1260836   834792   872332  1013144   258184  1187641   437093  1122963  1125014  2417805
465x  2700723  2292035  2066917  2227510  1199261   973865   797425  2474564  2566397  4463668
466x   769192   582689   647106   689493   457938   822234   121083   832208   710873  1719707
467x  2479523  1985022  1952718  2219627  1204492  2436002   790339   916193  2321920  4374265
468x  2286975  1952721  1790384  1809917  1040063  2399860   662375  2236204   764564  3856913
469x  3291881  3056709  2967447  3063845  2204151  4349262  1670413  4640576  4265457  4392667
470x  1394992  2211980  2152853  2105059  1308123  2349353  2166900   873536  1926749  3434375
471x  1805648   426823  1533738  1448500   815079  1993892  1643902   632727  1668698  3026045
472x  1575054  1367984   461090  1325972   778698  1829285  1537018   627278  1551782  3044086
473x  1584981  1316718  1265416   428885   744808  1572082  1402428   548079  1419731  2550824
474x   746261   552732   495023   535194   123184   737461   634784   326419   623686  1449236
475x  2048150  1540542  1513078  1380514   692590   726915  1584768   632491  1889967  3076247
476x  1351312  1222462  1213056  1218756   604384  1541467   451937   594321  1557055  2861887
477x   663441   474602   451492   470317   318995   619262   575272   131911   501366  1164925
478x  1603671  1237203  1213960  1206968   589408  1653645  1521663   530807   565271  2677532
479x  2143875  2059987  2019132  2061297  1217649  2768754  2682328  1313801  2917673  3121134
480x   835412  1401781  1258632  1245618   637643  1464783  1242570  1463706   509297  2464996
481x  1161043   267431   933326   891890   417045  1118306  1122166  1155875   455866  2373922
482x  1194812   940282   293198   778954   372210  1027182   870330  1064147   377232  1933177
483x  1030308   871794   745348   218083   436090   899328   827177  1027496   381360  1858836
484x   572285   415676   399559   384119    91354   521266   421229   607894   235560  1242236
485x  1282353   883844   870294   861102   526834   414848   899540  1093947   498508  2321109
486x   958422   751989   739086   746305   453797   867368   240065   998213   430704  1826586
487x  1165547   891911   852344   832693   478670   914141   802873   353049   439117  1842415
488x   452833   358568   352209   350068   240327   423921   421990   511965    77418  1118543
489x  1848603  1597441  1537957  1492991  1035403  2094025  1755608  1735196  1134302  2822016
490x   764246  1124812  1099034  1035049   567548  1180280   845969   801813  1309680  1536190
491x   951092   215283   730558   682948   361127   770639   574396   617144   887185  1115704
492x   763438   573494   165588   481926   287441   612154   503751   519088   602483  1004000
493x   577513   443384   440946   145287   252062   557332   469374   481148   525300   990895
494x   352809   253795   262524   287166    79626   406450   342608   329665   304966   843679
495x   796571   525137   507948   442997   326504   243306   452829   468611   518165   973381
496x   426707   355392   361839   367140   240028   405383   152454   455325   393483   827886
497x   423591   284504   280467   265079   148908   307765   274386   116010   269090   531638
498x   207496   193642   184529   168086   106898   209176   196667   218648   106035   469995
499x   220375   168672   124338   110140    94073   132822   113176    81103    62086    41216
